               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06116,            0.018822,            0.056856,             0.11116,             0.52134,             0.13726,            0.089092,              0.0302,             0.00561,            0.038471,            0.070294,           0.0033007,           0.0033007
                   1,            0.041353,            0.013611,             0.05112,             0.13025,             0.81489,             0.21672,              0.1451,            0.029554,           0.0039387,            0.035024,            0.040278,           0.0066176,           0.0066176
                   2,             0.03989,            0.011977,            0.051359,             0.12429,              0.2823,             0.12385,             0.06899,            0.041005,            0.010321,            0.036817,            0.010245,            0.009918,            0.009918
                   3,            0.038798,            0.012716,            0.053194,              0.1112,             0.23587,              0.1107,             0.06981,            0.030235,           0.0070594,            0.034817,           0.0099258,           0.0099258,           0.0099258
                   4,            0.032948,            0.011363,            0.048983,              0.1887,              0.6455,             0.28145,             0.19955,            0.021949,           0.0033021,            0.031905,           0.0099258,           0.0099258,           0.0099258
                   5,            0.033059,            0.010944,            0.049885,             0.25377,             0.60823,             0.30921,             0.21784,            0.026664,           0.0040844,            0.030056,            0.009901,            0.009901,            0.009901
                   6,            0.031612,            0.010669,            0.050083,             0.31866,             0.59663,              0.3252,             0.23474,            0.021305,            0.003497,            0.031386,           0.0098763,           0.0098763,           0.0098763
                   7,             0.03017,            0.010518,            0.048819,             0.22113,             0.70027,             0.36411,             0.27016,            0.023163,           0.0027767,            0.030163,           0.0098515,           0.0098515,           0.0098515
                   8,            0.029319,            0.010056,             0.04754,             0.25486,             0.58141,             0.31417,             0.24499,            0.022632,           0.0026694,            0.033916,           0.0098268,           0.0098268,           0.0098268
                   9,            0.028379,            0.010085,            0.047707,             0.30978,             0.58407,              0.3724,             0.29213,            0.020042,           0.0026711,            0.030772,            0.009802,            0.009802,            0.009802
                  10,            0.027647,           0.0098081,            0.046367,             0.37939,             0.68069,             0.46648,             0.36903,            0.019419,           0.0026151,             0.02897,           0.0097773,           0.0097773,           0.0097773
                  11,            0.026611,           0.0097537,            0.046183,             0.33442,             0.70938,             0.45771,             0.35729,            0.019075,           0.0025319,            0.028559,           0.0097525,           0.0097525,           0.0097525
                  12,            0.026424,           0.0095072,            0.044789,             0.35494,             0.61165,             0.45338,             0.35237,            0.019669,           0.0026695,            0.028283,           0.0097278,           0.0097278,           0.0097278
                  13,            0.026415,           0.0094666,            0.044493,             0.34015,             0.75396,             0.47657,             0.37466,            0.019541,           0.0026199,            0.028511,            0.009703,            0.009703,            0.009703
                  14,            0.026235,           0.0094692,            0.044095,             0.33662,             0.64677,             0.44925,              0.3459,            0.018925,           0.0027415,             0.02941,           0.0096783,           0.0096783,           0.0096783
                  15,            0.026629,           0.0094595,            0.043663,             0.40735,             0.74098,             0.53425,             0.41767,             0.01852,           0.0025387,            0.026019,           0.0096535,           0.0096535,           0.0096535
                  16,            0.025963,           0.0092338,            0.043764,             0.34992,             0.70041,             0.44909,             0.35558,            0.018306,           0.0026489,            0.031647,           0.0096288,           0.0096288,           0.0096288
                  17,            0.024902,           0.0092179,            0.042133,             0.34938,             0.67964,             0.43627,             0.34602,            0.021403,           0.0028805,            0.038995,            0.009604,            0.009604,            0.009604
